questionNumber|quizQuestion|Answer
216|Common binary tree operations include determining height, counting nodes and leaves, and traversing the tree. Answer True or False?A) TrueB) False|A
217|How long should the array be for a complete binary tree with n nodes?A) n2B) n+1C) 2nD) n+1|D
218|How long should the array be for a right-skewed binary tree with n nodes?A) nB) 2nC) n+1D) 2^n|D
219|What are the four different traversal methods are commonly used for binary trees?A) Pre-order, In-order, Post-order, Level-orderB) Depth-first, Breadth-first, Pre-order, Post-orderC) In-order, Level-order, Breadth-first, Depth-firstD) Depth-first, In-order, Post-order, Level-order|A
220|During which traversal method is the root node visited last?A) Pre-order traversalB) In-order traversalC) Post-order traversalD) Level-order traversal|C
221|Which traversal method visits the nodes from left to right at each level of the tree before moving to the next level?A) Pre-order traversalB) In-order traversalC) Post-order traversalD) Level-order traversal|D
222|What traversal method involves traversing the left subtree, visiting the node, and then traversing the right subtree?A) Pre-order traversalB) In-order traversalC) Post-order traversalD) Level-order traversal|B
223|In which traversal method is the sequence of actions "visit the node, traverse the left subtree, traverse the right subtree"?A) Pre-order traversalB) In-order traversalC) Post-order traversalD) Level-order traversal|A
224|What structure is introduced to efficiently perform operations such as searching, insertion, and deletion in a binary tree?A) AVL TreeB) B-treeC) Binary Search TreeD) Heap|C
225|A node is reached from the root by what?A) BranchB) PathC) RouteD) Trail|B
226|What is the maximum number of nodes we can get from a binary tree when the height of the tree is 5?A) 15B) 31C) 63D) 127|B
227|Determine the minimum number of nodes we can get from a binary tree when the height of the tree is 3.A) 2B) 3C) 4D) 5|B
228|Determine the minimum height we can get from a binary tree when the number of nodes is 23.A) 4B) 5C) 6D) 7|B
229|Determine the maximum height we can get from a binary tree when the number of nodes is 7.A) 3B) 4C) 5D) 6|A
230|In a Binary Search Tree (BST), what property ensures that the left subtree of any node contains only nodes with keys less than the node's key?A) Every vertex is connected to every other vertexB) The left subtree contains only nodes with keys greater than the node's keyC) The right subtree contains only nodes with keys greater than the node's keyD) There must be no duplicate keys among the nodes|A
231|How does the insertion process work in a Binary Search Tree (BST)?A) New nodes are always inserted as the root of the treeB) New nodes are inserted randomly within the treeC) New nodes are inserted as leaves at the end of a search pathD) New nodes are inserted based on their key value without any specific order|C
232|Which method is used to find a specific node in a Binary Search Tree (BST)?A) Breadth-first searchB) Depth-first searchC) Linear searchD) Binary search|D
233|What defines the maximum-key node in a Binary Search Tree (BST)?A) The rightmost node in the treeB) The leftmost node in the treeC) The root node of the treeD) The node with the highest key value|A
234|What defines the minimum-key node in a Binary Search Tree (BST)?A) The rightmost node in the treeB) The leftmost node in the treeC) The root node of the treeD) The node with the lowest key value|B
235|What must be ensured during the deletion process in a Binary Search Tree (BST) to maintain its structure?A) The node to be deleted must be a leaf nodeB) The node to be deleted must have a left subtreeC) The node to be deleted must have a right subtreeD) The resulting tree after deletion must remain a binary search tree|D
236|Which special type of binary trees maintains the properties of BSTs?A) AVL TreesB) Red-Black TreesC) B-treesD) Trie Trees|A
237|When inserting nodes into a Binary Search Tree (BST), what determines the shape of the resulting tree?A) The value of the nodes being insertedB) The height of the treeC) The order of insertion operationsD) The number of nodes in the tree|C
238|What is the worst-case time complexity for finding a node in a Binary Search Tree (BST) with n elements?A) O(1)B) O(log n)C) O(n)D) O(n^2) |B
239|Which operation is used to find the node with a specific key value in a Binary Search Tree (BST)?A) insert()B) delete()C) search()D) max()|C
240|What is the primary purpose of AVL Trees?A) To maintain a balanced binary search treeB) To perform fast search operationsC) To store key-value pairs efficientlyD) To implement dynamic arrays|A
241|In a complete binary search tree, what is the maximum number of nodes in the last level?A) 2^(h-1)B) 2^(h-1) - 1C) 2^h - 1D) 2^h|A
242|Which of the following cases represents a situation where a node in a Binary Search Tree (BST) has both left and right subtrees?A) Case 1: The node to be deleted is a leafB) Case 2: The node to be deleted has no left subtreeC) Case 3: The node to be deleted has no right subtreeD) Case 4: The node to be deleted has nonempty left and right subtrees|D
243|How does the delete() operation handle the case where the node to be deleted is a leaf node?A) It replaces the node with its right childB) It replaces the node with its left childC) It removes the node from the treeD) It updates the root of the tree|C
244|What is the primary advantage of using AVL Trees in comparison to regular Binary Search Trees?A) AVL Trees require less memory spaceB) AVL Trees ensure faster search operationsC) AVL Trees maintain a balanced structureD) AVL Trees support duplicate keys|C
245|Which algorithm is used to re-balance an AVL Tree after insertion or deletion operations?A) Depth-first searchB) Breadth-first searchC) RotationD) Insertion sort|C
246|How does the insertion process affect the shape of a Binary Search Tree (BST)?A) It always produces a balanced treeB) It can result in different tree shapes based on the insertion orderC) It creates a complete binary treeD) It maintains a constant height for the tree|B
247|In a Binary Search Tree (BST), what is the primary purpose of the search() operation?A) To insert a new node into the treeB) To find the maximum-key node in the treeC) To search for a specific node with a given keyD) To delete a node from the tree|C
248|Which of the following is true regarding AVL Trees?A) They are unbalanced binary search treesB) They always have a height of 2C) They maintain a balanced structure using rotationsD) They allow duplicate keys in the tree|C
249|What is the time complexity of the max() operation in a Binary Search Tree (BST)?A) O(1)B) O(log n)C) O(n)D) O(n^2) |B
250|How does the delete() operation handle the case where the node to be deleted has nonempty left and right subtrees?A) It replaces the node with its left childB) It replaces the node with its right childC) It replaces the node with the maximum node from its left subtreeD) It removes the node and re-balances the tree using rotations|C
251|Which data structure is composed of vertices (nodes) and edges (links/arcs)?A) TreeB) GraphC) Linked ListD) Stack|B
252|What component of a graph describes relationships among the objects represented by vertices?A) VertexB) EdgeC) RootD) Leaf|B
253|Graphs are solely used in the analysis of electrical circuits and network communications, finding shortest route between two places and many more. Answer True or False?A) TrueB) False|A
254|Graphs are useful for representing linear relationships between objects/entities. Answer True or False?A) TrueB) False|A
255|What typically represents a point or entity in a graph?A) EdgeB) VertexC) LinkD) Arc|B
256|What does "x ∈ A∪B" signify in set theory?A) Intersection of sets A and BB) Subset of set A by set BC) Union of sets A and BD) Cartesian product of sets A and B|C
257|What does x∈A∪B signify in set theory?A) IntersectionB) UnionC) SubsetD) Superset|B
258|What distinguishes a directed graph from an undirected graph?A) Arrows on edgesB) More verticesC) CyclesD) More edges|A
259|What is a simple path in a graph?A) No verticesB) One vertexC) No repeated verticesD) Repeated vertices|C
260|What does it mean for two vertices uu and vv to be adjacent in a graph?A) Connected by an edgeB) Same degreeC) Connected by a pathD) Not connected|A
261|What is the degree of a node in a graph?A) Adjacent verticesB) Incident edgesC) CyclesD) Connected components|B
262|What does x∈A∩B signify in set theory?A) UnionB) IntersectionC) SubsetD) Superset|B
263|What defines the Cartesian product A×B of sets A and B?A) Set of all ordered pairs where the first element is from A and the second from BB) Set of all unordered pairs where the elements can be from A or BC) Set of all elements that belong to either A or BD) Set of all subsets of A and B|A
264|What is the primary characteristic of a directed graph?A) Bidirectional edgesB) Unidirectional edgesC) Complete connectivityD) Acyclic structure|B
265|What is a cycle in a graph?A) A path with no repeated verticesB) A path with repeated verticesC) A subgraph that forms a loopD) A subgraph without any edges|C
266|What defines a complete graph?A) Every vertex is connected to every other vertexB) Every vertex has the same degreeC) There are no cycles in the graphD) The graph has no isolated vertices|A
267|What is the main advantage of using an adjacency matrix for graphs?A) It saves memory spaceB) It is efficient for sparse graphsC) It facilitates edge weight storageD) It enables fast edge existence determination|D
268|What type of graphs are adjacency lists particularly suitable for?A) Dense graphsB) Weighted graphsC) Sparse graphsD) Directed graphs|C
269|Which data structure is typically used to store adjacent vertices in adjacency lists?A) ArraysB) Linked listsC) StacksD) Queues|B
270|What method is used to determine the existence of an edge (i,j) in adjacency lists?A) Iterating through all verticesB) Traversing the entire graphC) Checking specific nodes in the listD) Using a hash table|C
271|What is the size of the adjacency matrix compared to the adjacency list for sparse graphs?A) The adjacency matrix is largerB) The adjacency list is largerC) They are the same sizeD) It depends on the number of vertices|B
272|What does each element of an adjacency matrix represent in a weighted graph?A) Vertex indexB) Edge existenceC) Edge weightD) Vertex connectivity|C
273|In adjacency lists, what information does each node typically contain?A) Vertex indexB) Edge existenceC) Edge weightD) Adjacent vertex and link to another adjacent vertex|D
274|What is the property of an undirected graph's adjacency matrix that ensures symmetry?A) The size of the matrixB) The number of verticesC) The values of A(i,j) and A(j,i)D) The adjacency list size|C
275|What is the typical method used to store graphs in computer memory for processing and manipulation?A) ArraysB) Linked listsC) Both adjacency matrix and adjacency listsD) Stacks|C
276|What are the fundamental operations typically performed on a graph?A) Creating the graphB) Adding or removing edgesC) Determining edge existenceD) All of the above|D
277|What is the primary purpose of traversal in a graph?A) Finding the longest path between two verticesB) Determining whether a graph is cyclicC) Discovering all vertices reachable from a given vertexD) Resolving dependencies among vertices|C
278|In a weighted graph, what defines a minimal spanning tree?A) A tree with the maximum total weightB) A tree with the minimum total weightC) A tree with the maximum number of edgesD) A tree with the minimum number of vertices|B
279|Which algorithm constructs a minimal spanning tree by adding edges incrementally?A) Kruskal's algorithmB) Dijkstra's algorithmC) Bellman-Ford algorithmD) Prim's algorithm|D
280|What is the primary objective of Prim's algorithm?A) To identify the longest path in a graphB) To compute the maximum weight of a treeC) To build a minimal spanning treeD) To perform topological sorting|C
281|What does a topological sort of a directed graph aim to achieve?A) Ensuring a cyclic graphB) Resolving dependencies among tasksC) Minimizing the number of verticesD) Maximizing the number of cycles|B
282|What is the main function of a priority queue in topological sorting?A) Maintaining vertex orderB) Storing distances between verticesC) Selecting vertices with minimum degreesD) Handling visited vertices|C
283|Why is it significant that a graph has a spanning tree if and only if it is connected?A) It ensures the efficiency of the minimal spanning tree algorithmsB) It guarantees the existence of a minimal spanning treeC) It simplifies the traversal processD) It facilitates the identification of disconnected components|B
284|How does Dijkstra's algorithm differ from Bellman-Ford algorithm?A) Dijkstra's works for negative-weight cycles, Bellman-Ford doesn'tB) Dijkstra's finds the shortest path to all nodes from a source, Bellman-Ford doesn'tC) Dijkstra's requires positive weights, Bellman-Ford doesn'tD) Dijkstra's algorithm finds the shortest path between two nodes, Bellman-Ford finds the shortest path between all pairs of nodes|B
285|What is the primary challenge in finding the shortest route that visits each city once and returns to the origin city?A) Identifying the origin cityB) Determining the distances between citiesC) Resolving computational complexityD) Optimizing the route|C
286|What is the primary function of a spanning tree in a graph?A) Maximizing the number of edgesB) Resolving dependency among verticesC) Identifying cyclesD) Connecting all vertices without cycles|D
287|Which algorithm is used to find a minimal spanning tree by selecting edges based on their weights?A) Kruskal's algorithmB) Prim's algorithmC) Dijkstra's algorithmD) Floyd-Warshall algorithm|A
288|What characteristic defines a minimal spanning tree?A) It maximizes the total weight of edgesB) It minimizes the total weight of edgesC) It contains the maximum number of verticesD) It contains the minimum number of edges|B
289|How does topological sorting help in managing tasks in a project?A) By resolving dependencies among tasksB) By minimizing the number of cyclesC) By randomizing task execution orderD) By maximizing the number of edges|A
290|What data structure is commonly used in Prim's algorithm to select edges with minimal weight?A) QueueB) StackC) Priority queueD) Hash table|C
291|What is the primary advantage of using Kruskal's algorithm for finding a minimal spanning tree?A) It guarantees the shortest path between two verticesB) It efficiently handles negative-weight edgesC) It is suitable for cyclic graphsD) It is easy to implement|D
292|What property ensures that a minimal spanning tree contains no cycles?A) It maximizes the total weight of edgesB) It minimizes the total weight of edgesC) It connects all vertices without forming a cycleD) It contains the maximum number of edges|C
293|How do Dijkstra's and Floyd-Warshall's algorithms differ?A) Dijkstra's works for acyclic graphs, while Floyd-Warshall's works for cyclic graphsB) Dijkstra's finds the shortest path between two nodes, while Floyd-Warshall's finds the shortest path between all pairs of nodesC) Dijkstra's requires positive weights, while Floyd-Warshall's works for negative weightsD) Dijkstra's is based on depth-first search, while Floyd-Warshall's is based on breadth-first search|B
294|What is the primary objective of topological sorting in a directed graph?A) To maximize the number of cyclesB) To minimize the number of edgesC) To resolve dependency among verticesD) To determine the existence of cycles|C
295|Which algorithm is used to find the shortest path between a source node and all other nodes in a graph?A) Kruskal's algorithmB) Bellman-Ford algorithmC) Dijkstra's algorithmD) Prim's algorithm|C
296|What is the key characteristic of a topological sort in a directed graph?A) It orders vertices based on their degreeB) It resolves dependencies among verticesC) It maximizes the number of cyclesD) It minimizes the number of edges|B
297|What is the main limitation of using Floyd-Warshall's algorithm for finding the shortest path in a graph?A) It requires positive weightsB) It only works for acyclic graphsC) It has a high computational complexityD) It cannot handle negative cycles|D
298|What is the primary challenge in finding the shortest possible route that visits each city once and returns to the origin city?A) Identifying the origin cityB) Determining the distances between each pair of citiesC) Resolving computational complexityD) Optimizing the route|D
299|What is the role of a priority queue in Prim's algorithm for finding a minimal spanning tree?A) To maintain the order of verticesB) To store the distances between verticesC) To select edges with minimal weightD) To keep track of visited vertices|C
300|What is the significance of the theorem stating that a graph has a spanning tree if and only if it is connected?A) It determines the efficiency of the minimal spanning tree algorithmsB) It ensures the existence of a minimal spanning treeC) It helps in identifying disconnected componentsD) It simplifies the traversal process|B
